ProbeID	Name	Control_1	Control_2	Control_3	Grp78KO_1	Grp78KO_2	Grp78KO_3
0610009B22Rik	0610009B22RIK	2.7175097	2.7343273	2.7378895	2.9302382	2.7979038	2.8245237
0610009E02Rik	0610009E02RIK	0.6922513	0.7308171	0.6848583	0.9879777	0.944222	1.1656109
0610009L18Rik	0610009L18RIK	1.3400853	1.383681	1.381351	1.243076	1.2321054	1.5145166
0610009O20Rik	0610009O20RIK	3.170275	3.2033772	3.3840997	3.098565	3.0926068	3.21703
0610010F05Rik	0610010F05RIK	2.8685474	2.9614136	2.9870894	3.1399486	3.216889	3.1896598
0610010K14Rik	0610010K14RIK	2.888679	2.8724346	2.9700353	3.3351297	3.2840524	3.0917451
0610012D04Rik	0610012D04RIK	0	0	0.014791441	0	0	0
0610012G03Rik	0610012G03RIK	3.0788684	2.983321	2.9803028	3.4432898	3.3238485	3.1849685
0610025J13Rik	0610025J13RIK	0.37651336	0.34214988	0.5308428	0.27762365	0.23967002	0.3290348
0610030E20Rik	0610030E20RIK	2.643372	2.682177	2.9385853	2.7789395	2.780143	2.9753528
0610031O16Rik	0610031O16RIK	0.11504031	0.06473901	0.0924506	0.06056527	0.061277214	0.1434309
0610033M10Rik	0610033M10RIK	0.073435545	0.0393441	0.07186184	0.04576436	0.052749883	0.078045756
0610037L13Rik	0610037L13RIK	2.8328724	2.7621663	2.8175533	3.3177483	3.3267703	3.0426266
0610038B21Rik	0610038B21RIK	0.17437164	0.2834592	0.1832949	0.3124847	0.23254092	0.36911002
0610039K10Rik	0610039K10RIK	0.17437164	0.11367236	0.20780356	0.103697315	0.09467747	0.122107364
0610040B10Rik	0610040B10RIK	0.4324407	0.42419285	0.5737281	0.53662217	0.48976707	0.607629
0610040F04Rik	0610040F04RIK	0.7586388	0.7499552	0.85063106	0.7271778	0.6986807	0.7514988
0610040J01Rik	0610040J01RIK	3.783825	3.865268	3.8507931	3.6989663	3.716029	3.8428729
0610043K17Rik	0610043K17RIK	0.15498304	0.16032252	0.23761812	0.2657279	0.28819945	0.28117734
1010001B22Rik	1010001B22RIK	0.3283074	0.18285611	0.1832949	0.0966366	0.11901535	0.23733678
1010001N08Rik	1010001N08RIK	0.79024976	0.7749159	0.82484114	0.74586093	0.6574417	0.8217174
1110002E22Rik	1110002E22RIK	0	0.013287439	0.13890398	0	0.035473924	0.039784078
1110002J07Rik	1110002J07RIK	0.030024389	0	0.014791441	0	0.017894255	0.016104057
1110002L01Rik	1110002L01RIK	1.7800387	1.8207605	1.919711	2.2152424	2.4288385	2.046051
1110002O04Rik	1110002O04RIK	0.030024389	0	0.014791441	0.015488665	0	0.031952877
1110003F10Rik	1110003F10RIK	0	0	0	0	0	0
1110004E09Rik	1110004E09RIK	4.297022	4.339929	4.217154	4.636229	4.588668	4.643213
1110004F10Rik	1110004F10RIK	4.023864	4.0409207	4.0679555	4.229823	4.2208824	4.2013106
1110006O24Rik	1110006O24RIK	0.24241035	0.3609722	0.40988654	0.4946832	0.47303224	0.55777615
1110008E08Rik	1110008E08RIK	0	0	0	0	0	0
1110008F13Rik	1110008F13RIK	4.711666	4.570084	4.5134416	5.0464463	4.9769216	4.7985106
1110008L16Rik	1110008L16RIK	2.316121	2.3555431	2.5861638	2.5494907	2.488303	2.4524965
1110008P14Rik	1110008P14RIK	3.1870914	3.1460674	3.151642	3.4425411	3.4213502	3.267767
1110012L19Rik	1110012L19RIK	2.3332634	2.2442818	2.3048608	2.6195345	2.5758286	2.4096694
1110015O18Rik	1110015O18RIK	0	0	0	0	0	0
1110017D15Rik	1110017D15RIK	4.10296	3.9865565	3.894196	4.526041	4.3832803	4.5348716
1110018N20Rik	1110018N20RIK	0.015124873	0.013287439	0.17707272	0.19764464	0.086431414	0.031952877
1110019D14Rik	1110019D14RIK	1.313807	1.3953475	1.4604982	1.5153692	1.4782745	1.585151
1110020A21Rik	1110020A21RIK	0.6087819	0.6468809	0.65434676	0.31817853	0.35999873	0.3967827
1110025L11Rik	1110025L11RIK	0	0	0	0	0	0
1110025M09Rik	1110025M09RIK	0.39721426	0.59291494	0.6387346	0.38939106	0.33448237	0.44474202
1110028F11Rik	1110028F11RIK	0.1352111	0.08337074	0.1832949	0.17824279	0.061277214	0.1434309
1110028F18Rik	1110028F18RIK	0	0	0	0.023143955	0	0.04755443
1110032A03Rik	1110032A03RIK	3.783305	3.731066	3.6589277	3.9635363	3.9248028	4.087216
1110032F04Rik	1110032F04RIK	0.15498304	0.10166167	0.1258503	0.28937954	0.5007701	0.49546415
1110034G24Rik	1110034G24RIK	1.7340225	1.5343482	1.7275547	1.6765679	1.6271853	1.5001328
