ProbeID	Name	HCT116_DMSO_A1_S25_L003	HCT116_DMSO_B1_S27_L003	HCT116_DMSO_C1_S26_L003	HCT116_PF_20uL_D1_S30_L003	HCT116_PF_20uL_E1_S29_L003	HCT116_PF_20uL_F1_S28_L003	SW480_DMSO_A2_S31_L003	SW480_DMSO_G1_S32_L003	SW480_DMSO_H1_S33_L003	SW480_PF_20uL_B2_S36_L003	SW480_PF_20uL_C2_S35_L003	SW480_PF_20uL_D2_S34_L003
ENSG00000223997	TRDD1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228985	TRDD3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237235	TRDD2	0	0	0	0	0	0	0	0	0	0	0	0
None	None	14.90762294	14.91389856	14.93072176	15.02426244	14.90559797	15.00601831	14.92012499	14.96791725	14.95476783	14.79437417	14.81598716	14.80236181
ENSG00000282431	TRBD1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000292271	None	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271336	IGHD1OR15-1A	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270961	IGHD5OR15-5A	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000282599	IGHD2OR15-2A	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270824	IGHD5OR15-5B	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000282268	IGHD2OR15-2B	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270451	IGHD4OR15-4B	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000282520	IGHD3OR15-3A	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270185	IGHD1OR15-1B	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000282089	IGHD3OR15-3B	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271317	IGHD4OR15-4A	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236597	IGHD7-27	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211907	IGHD1-26	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225825	IGHD6-25	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211909	IGHD5-24	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227196	IGHD4-23	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211911	IGHD3-22	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211912	IGHD2-21	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237020	IGHD1-20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211914	IGHD6-19	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211915	IGHD5-18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227800	IGHD4-17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211917	IGHD3-16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211918	IGHD2-15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227108	IGHD1-14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211920	IGHD6-13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211921	IGHD5-12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232543	IGHD4-11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211925	IGHD2-8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237197	IGHD1-7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228131	IGHD6-6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211928	IGHD5-5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233655	IGHD4-4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211930	IGHD3-3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211931	IGHD2-2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236170	IGHD1-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211923	IGHD3-10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211924	IGHD3-9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211821	TRDV2	0	0	0	0	0	0	0	0	0	0.17877837	0.209692911	0.194988455
ENSG00000256590	TRDV3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255569	TRAV1-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000256553	TRAV1-2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211776	TRAV2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211777	TRAV3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211778	TRAV4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211779	TRAV5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211745	TRBV4-2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283063	TRBV6-2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000282939	TRBV7-2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211716	TRBV9	0	0	0	0	0.625779201	0	0	0	0	0	0.331095224	0
ENSG00000211713	TRBV6-4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211710	TRBV4-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237702	TRBV3-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211714	TRBV7-3	0	0	0.139415794	0	0	0	0.726227861	0.260907268	0	0	0	0
ENSG00000211734	TRBV5-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211715	TRBV5-3	0	0	0	0.171995866	0.159056902	0	0	0	0	0	0	0
ENSG00000211706	TRBV6-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226660	TRBV2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211707	TRBV7-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211780	TRAV6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211781	TRAV7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211782	TRAV8-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211783	TRAV9-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211784	TRAV10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211785	TRAV12-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211786	TRAV8-2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211787	TRAV8-3	0	0	0	0	0	0.559234332	0	0	0	0	0	0
ENSG00000211788	TRAV13-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211789	TRAV12-2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211790	TRAV8-4	0	0	0	0	0	0.178570603	0	0	0.20790909	0	0	0
ENSG00000211791	TRAV13-2	0	0	0	0	0	0	0	0	0	0.259022951	0.556692302	0.520365923
ENSG00000211792	TRAV14DV4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211793	TRAV9-2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211794	TRAV12-3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211795	TRAV8-6	0	0	0	0	0.13087909	0	0	0	0	0	0	0
ENSG00000211796	TRAV16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211797	TRAV17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211798	TRAV18	0	0.26018347	0	0.559447761	0	0	0.239600897	0	0	0	0	0
ENSG00000211799	TRAV19	0	0	0	0	0	0	0	0	0	0.210518539	0.247728256	0.230233761
ENSG00000211800	TRAV20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211801	TRAV21	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211802	TRAV22	0	0	0	0	0	0	0	0	0	0.212682633	0	0
ENSG00000211803	TRAV23DV6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211804	TRDV1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211805	TRAV24	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211806	TRAV25	0	0	0	0	0	0	0	0	0	0	0	0
