ProbeID	Name	Xenograft_PF_treated_F1_S40	Xenograft_PF_treated_F2_S36	Xenograft_control_C1_S15	Xenograft_PF_treated_F3_S50	Xenograft_control_C2_S5	Xenograft_control_C3_S52
TRBD1	TRBD1	0	0	0	0	0	0
TRDD2	TRDD2	0	0	0	0	0	0
TRDD3	TRDD3	0	0	0	0	0	0
TRDD1	TRDD1	0	0	0	0	0	0
TRBD1	TRBD1	0	0	0	0	0	0
IGHD3-10	IGHD3-10	0	0	0	0	0	0
IGHD3-16	IGHD3-16	0	0	0	0	0	0
IGHD1-14	IGHD1-14	0	0	0	0	0	0
IGHD2-15	IGHD2-15	0	0	0	0	0	0
IGHD2-21	IGHD2-21	0	0	0	0	0	0
IGHD6-13	IGHD6-13	0	0	0	0	0	0
IGHD7-27	IGHD7-27	0	0	0	0	0	0
IGHD3-3	IGHD3-3	0	0	0	0	0	0
IGHD5-5	IGHD5-5	0	0	0	0	0	0
IGHD4-17	IGHD4-17	0	0	0	0	0	0
IGHD4-11	IGHD4-11	0	0	0	0	0	0
IGHD5-18	IGHD5-18	0	0	0	0	0	0
IGHD3-22	IGHD3-22	0	0	0	0	0	0
IGHD4-23	IGHD4-23	0	0	0	0	0	0
IGHD5-24	IGHD5-24	0	0	0	0	0	0
IGHD2-2	IGHD2-2	0	0	0	0	0	0
IGHD4-4	IGHD4-4	0	0	0	0	0	0
IGHD2-8	IGHD2-8	0	0	0	0	0	0
IGHD5-12	IGHD5-12	0	0	0	0	0	0
IGHD6-13	IGHD6-13	0	0	0	0	0	0
IGHD6-19	IGHD6-19	0	0	0	0	0	0
IGHD6-25	IGHD6-25	0	0	0	0	0	0
IGHD1OR15-1B	IGHD1OR15-1B	0	0	0	0	0	0
IGHD6-6	IGHD6-6	0	0	0	0	0	0
IGHD1-7	IGHD1-7	0	0	0	0	0	0
IGHD3-9	IGHD3-9	0	0	0	0	0	0
IGHD1-1	IGHD1-1	0	0	0	0	0	0
IGHD6-6	IGHD6-6	0	0	0	0	0	0
IGHD1-20	IGHD1-20	0	0	0	0	0	0
IGHD3OR15-3B	IGHD3OR15-3B	0	0	0	0	0	0
IGHD5OR15-5B	IGHD5OR15-5B	0	0	0	0	0	0
IGHD1OR15-1A	IGHD1OR15-1A	0	0	0	0	0	0
IGHD5-24	IGHD5-24	0	0	0	0	0	0
IGHD3OR15-3A	IGHD3OR15-3A	0	0	0	0	0	0
IGHD1-20	IGHD1-20	0	0	0	0	0	0
IGHD1-26	IGHD1-26	0	0	0	0	0	0
IGHD7-27	IGHD7-27	0	0	0	0	0	0
IGHD3-3	IGHD3-3	0	0	0	0	0	0
IGHD1-14	IGHD1-14	0	0	0	0	0	0
IGHD1-1	IGHD1-1	0	0	0	0	0	0
IGHD2-2	IGHD2-2	0	0	0	0	0	0
IGHD4OR15-4A	IGHD4OR15-4A	0	0	0	0	0	0
IGHD2OR15-2B	IGHD2OR15-2B	0	0	0	0	0	0
IGHD4OR15-4B	IGHD4OR15-4B	0	0	0	0	0	0
IGHD2-8	IGHD2-8	0	0	0	0	0	0
IGHD4-11	IGHD4-11	0	0	0	0	0	0
IGHD5-12	IGHD5-12	0	0	0	0	0	0
IGHD2-15	IGHD2-15	0	0	0	0	0	0
IGHD1-26	IGHD1-26	0	0	0	0	0	0
