Name	Control	Control	Control	Control	Control	Control	Control	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient
---	5.22265	4.36498	4.40752	4.76032	4.6910300000000005	4.1948	4.57828	4.30017	3.83301	4.758430000000001	4.20638	4.61505	4.28504	4.05851	3.9312300000000002	4.94196	4.6272199999999994	4.12055	4.79408	5.0556	4.84973
OR4G2P	1.03855	1.28949	1.0692	0.917488	1.0692	0.917488	0.9669989999999999	0.93915	1.1521299999999999	1.0692	1.0692	1.0692	1.46743	1.04158	1.0692	0.967944	1.27754	1.0692	1.00534	0.9969040000000001	1.0692
OR4F4	1.43228	1.4922	1.2865	1.3306	0.983409	1.47075	1.0035	1.31695	1.3519700000000001	1.3905399999999999	1.1765700000000001	1.43618	1.7960900000000002	1.2800200000000002	1.295	1.32089	1.44507	1.3123200000000002	1.18682	1.20735	1.3281
LOC728323	6.86027	6.47092	6.78035	6.59174	6.40761	6.04932	6.6353100000000005	7.03385	6.27105	8.20192	7.06307	5.83105	7.73263	7.0157	7.2576600000000004	7.10946	7.565930000000001	5.876930000000001	7.10307	6.30039	7.48596
OR4F29	3.61226	3.47649	3.53939	3.5306800000000003	3.61551	3.58239	3.22045	3.7182699999999995	3.5796900000000003	4.53161	3.29523	3.52399	4.67267	3.61226	4.35881	3.3893800000000005	3.94276	3.59214	3.5609699999999997	3.18577	3.99177
MT-TM	6.55629	5.8781300000000005	6.1355900000000005	6.39438	6.07921	6.2266699999999995	6.66057	5.9126199999999995	5.29697	7.6607199999999995	6.20352	7.12357	6.195069999999999	5.622719999999999	5.9945900000000005	6.46504	6.31395	6.57981	6.29168	6.10902	6.4787099999999995
MT-TW	5.8747	4.81902	5.84399	4.93846	4.82949	5.2721	5.88314	4.1902099999999995	3.72548	8.23034	4.57843	4.35369	6.48755	5.4032	6.0956	4.19995	6.33576	4.851	4.98731	5.11238	7.031000000000001
MT-TD	0.884676	1.14268	1.28415	1.19456	0.846183	0.876634	0.983768	1.11564	1.05703	1.4507299999999999	1.03599	1.12717	1.02621	0.973972	1.1455799999999998	0.904381	0.799294	1.03149	1.16377	1.36186	1.00274
MT-TK	6.7473	6.3465	6.46919	6.88785	6.24605	6.30465	6.32244	5.33476	5.37223	9.14852	5.64485	7.402419999999999	6.32889	5.66798	5.815119999999999	6.60942	6.05101	6.4121	6.8670800000000005	4.89332	6.320069999999999
LOC100287497	5.18724	5.24116	5.69466	5.09435	5.82129	5.61659	5.72176	5.1006800000000005	5.1669	5.09941	5.24798	4.95416	5.21213	5.3268699999999995	5.37367	4.8135900000000005	4.862	5.10217	5.03461	4.74739	4.96467
