ProbeID	Name	3-2_ham_S91_L004	3-4_ham_S92_L004	3-6_ham_S93_L004	4-2_ham_S94_L004	4-5_ham_S95_L004	4-6_ham_S96_L004	UN_CT_1_ham_S89_L004	UN_CT_3_ham_S90_L004
ENSMAUG00000000001.1		1.166715445	1.153805336	1.355580147	-1	2.525317212	2.175364914	2.843380921	3.135042286
ENSMAUG00000000002.1		11.66952732	11.62127809	11.84941683	11.34211357	10.98151734	11.79815585	12.31344711	11.39717725
ENSMAUG00000000003.1		6.324144535	4.76754887	5.625971791	4.433159768	4.384878704	4.059960889	5.43968962	5.251378258
ENSMAUG00000000004.1		13.16820201	12.89128057	13.22441778	13.38516137	13.44388892	13.74473925	13.98880893	13.24417204
ENSMAUG00000000005.1		3.332278283	3.568761783	3.236492618	1.913798965	3.704871964	3.029806228	3.414406182	3.451804556
ENSMAUG00000000006.1	ND1	8.395139938	8.195475561	8.528039899	8.32775472	8.258259797	8.562482853	9.048296137	8.373182723
ENSMAUG00000000007.1		2.167036722	1.153805336	3.940354712	2.007195501	3.984771612	4.760433875	2.428410425	0.813114191
ENSMAUG00000000008.1		1.110363243	2.097610797	2.327974725	0.992043276	2.504366151	3.429482065	4.564926849	-1
ENSMAUG00000000009.1		4.751892138	6.283180979	4.162693432	3.00737493	5.332672134	4.634883637	6.650678408	6.367685572
ENSMAUG00000000010.1	ND2	7.931381676	7.802238462	8.160703421	7.99155019	7.912625916	8.147230369	8.786455875	8.398119458
ENSMAUG00000000011.1		1.271425676	-1	1.438292852	-1	0.540027269	3.187134291	1.884402553	1.8871353
ENSMAUG00000000012.1		4.336854639	5.241382597	4.525254561	2.592397235	4.525317212	4.760433875	6.05278539	4.983039193
ENSMAUG00000000013.1		4.810494518	5.955498802	6.185807092	4.45173863	4.591799078	5.631104282	7.239560343	5.510265714
ENSMAUG00000000014.1		6.47544162	7.386983342	7.480564037	5.065356891	6.616254761	7.016095119	8.658836277	7.287998582
ENSMAUG00000000015.1		4.015247774	4.502266945	6.145616323	1.04194383	4.448306311	5.178236585	6.108168966	5.370687407
ENSMAUG00000000016.1	COX1	10.08625567	9.8588622	10.15176497	9.982836751	10.02236781	10.07248101	10.68297703	10.0042907
ENSMAUG00000000017.1		9.803538652	9.420690818	8.463888066	8.14690465	9.662305209	10.03654454	10.9726065	10.38863084
ENSMAUG00000000018.1		2.207892852	2.180466161	1.390667686	-1	1.541514839	1.178236585	3.182215557	1.847195187
ENSMAUG00000000019.1	COX2	9.952509757	9.607282223	9.827401459	9.636887399	9.951268685	10.340451	10.83018242	10.16927364
ENSMAUG00000000020.1		2.26993081	1.272620455	1.43349364	1.115699153	3.376568225	3.193456366	3.838346737	3.938568092
ENSMAUG00000000021.1	ATP8	9.320750917	9.035016244	9.572533497	9.672932671	9.503915158	9.320981015	10.34620344	9.719089298
ENSMAUG00000000022.1	ATP6	9.563301157	9.257677767	9.326788992	9.577217318	9.702309501	10.19412892	10.26268214	9.758607993
ENSMAUG00000000023.1	COX3	10.03292733	9.778218434	9.600970307	9.671086338	10.06883201	10.15706898	10.86372168	10.18558164
ENSMAUG00000000024.1		3.974253963	3.7388759	3.940354712	1.007195501	4.110279713	4.17544476	3.428276414	4.398076692
ENSMAUG00000000025.1	ND3	6.991895935	6.993187495	7.040969121	7.337202634	7.665584636	7.572146914	8.33960508	7.629844722
ENSMAUG00000000026.1		4.015247774	3.987684678	5.78303751	3.626672753	3.863343811	4.637668203	5.445196982	4.847145064
ENSMAUG00000000027.1	ND4L	8.214435698	8.025676665	8.057406947	8.208692826	8.326029432	8.62404239	8.943355832	8.387319455
ENSMAUG00000000028.1	ND4	8.235487739	7.95610313	8.228736935	8.204820538	8.295846978	8.670868655	8.93104772	8.415927638
ENSMAUG00000000029.1		4.034919984	5.104043058	5.221838423	3.065399977	4.528758832	5.431121473	5.514785053	4.845038354
ENSMAUG00000000030.1		4.564073256	4.053980168	3.781254786	2.755742179	2.553851968	4.229203358	3.468974238	4.223731445
ENSMAUG00000000031.1		3.71446534	4.303780748	5.254329484	2.986046802	4.519982144	4.303926836	4.938144621	3.796805381
ENSMAUG00000000032.1	ND5	8.046207278	7.903773414	8.300242724	7.928950601	7.99830835	8.264381607	8.375161099	7.919310284
ENSMAUG00000000033.1	ND6	7.295318955	7.18773806	7.647969216	6.983301469	6.70316993	6.879558745	7.316625475	6.81421714
ENSMAUG00000000034.1		3.488772059	4.7388759	4.525254561	4.00737493	4.432224514	2.760433875	5.930784638	5.336640446
ENSMAUG00000000035.1	CYTB	8.953253597	8.621440192	8.666444163	9.007397357	9.101337541	9.495445339	9.447298168	8.955815525
ENSMAUG00000000036.1		-1	-1	2.414406182	-1	1.528571319	1.183327706	1.871055075	2.844988157
ENSMAUG00000000037.1		9.288213196	8.855366853	8.882083591	8.449037188	8.975868025	8.566910265	9.792774029	9.069052283
ENSMAUG00000000038.1		2.788268083	4.163096138	2.409526713	3.40476691	3.105510469	2.164142649	1.088141597	1.442545456
ENSMAUG00000000039.1	NEBL	4.028745942	4.029187823	3.916763244	5.555325359	4.831015825	5.527320608	4.686556553	5.125072453
ENSMAUG00000000040.1	EPHA7	2.13553487	2.151534141	1.786596362	2.454702328	1.695102986	2.469625539	1.695102986	1.887525271
ENSMAUG00000000041.1	TNFSF15	-0.564	-0.398	-0.115	0.173767068	-0.246	-0.127	-0.21	-0.163
ENSMAUG00000000042.1	RNF32	-0.482	0.187767747	-0.123	-0.028	-0.224	-0.501	-0.514	-0.36
ENSMAUG00000000043.1		-1	-0.98	-0.979	-1	-0.988	-0.982	-1	-1
ENSMAUG00000000044.1	NECTIN3	2.502585202	2.745022149	2.505636912	3.979750998	3.764367389	4.430619811	3.927137939	4.339422474
ENSMAUG00000000045.1	MOSPD1	1.27857955	0.749319725	1.253989266	1.760859637	1.413594082	2.196292286	1.38294387	1.407624676
ENSMAUG00000000046.1	HHLA1	-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000047.1	PALMD	0.878136767	1.289244285	1.784922702	2.194087052	1.418459838	1.496717988	1.996750279	1.722466024
ENSMAUG00000000048.1	TMEM47	0.855192408	1.04194383	1.2880632	2.445461867	1.926758532	2.581592279	1.878136767	2.202887833
ENSMAUG00000000049.1		5.023920649	4.462575888	5.07489072	4.612706346	4.922388165	5.514816607	4.752641563	5.01582759
ENSMAUG00000000050.1		6.893058786	7.10349764	6.914157871	6.046883898	6.286733323	5.029629568	4.591679417	4.789572768
ENSMAUG00000000051.1	SNRPN	2.50589093	3.042294126	2.849999259	4.533937055	3.796286258	4.487357715	4.313971371	4.394445545
ENSMAUG00000000052.1	HMGCS1	2.963104155	3.436561644	3.512732563	3.82527683	3.848197267	4.044831233	2.781989116	3.596219579
ENSMAUG00000000053.1	RMI2	1.037030731	1.044044333	1.204140717	-0.828	-0.536	-0.957	-0.928	-0.93
ENSMAUG00000000054.1	TRIM15	0.171206827	0.662661255	0.780730036	0.351628329	0.266636643	-0.266	-0.294	-0.205
ENSMAUG00000000055.1	SLC26A5	-1	-1	-0.984	-1	-1	-1	-1	-1
ENSMAUG00000000056.1	EPP13	-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000057.1		1.769771739	1.568518598	1.687060688	1.987684678	1.535555333	2.10634832	2.77925972	2.708849377
ENSMAUG00000000058.1	GTPBP8	2.184915004	1.929033479	2.115366237	1.674460652	1.769348599	1.606442228	1.187134291	1.564622052
ENSMAUG00000000059.1	VSTM2B	-1	-1	-1	-0.986	-0.954	-0.986	-0.884	-0.944
ENSMAUG00000000060.1	SLITRK2	-1	-1	-1	-0.988	-0.992	-0.994	-0.979	-0.995
ENSMAUG00000000061.1	FAM122C	-1	-1	-1	-0.927	-1	-1	-1	-1
ENSMAUG00000000062.1	SERPINB2	1.912649865	1.93319492	3.405447844	-0.775	-0.547	-0.306	-0.219	-0.493
ENSMAUG00000000063.1	CES2H	-0.537	-0.425	-0.248	-0.275	-0.561	-0.321	-0.468	-0.238
ENSMAUG00000000064.1	LRATD1	1.327687364	1.699995744	0.877351626	1.258820397	0.800744624	-0.087	-0.291	0.447843644
ENSMAUG00000000065.1	ZFP438	-0.681	-0.575	-0.611	-0.163	-0.44	-0.291	-0.179	-0.179
ENSMAUG00000000066.1	DACH1	-0.126	-0.198	-0.065	1.310340121	0.886745225	1.576280258	0.725959235	0.940354712
ENSMAUG00000000067.1	PDSS1	1.195977459	1.247319935	1.671293372	-0.432	-0.477	-0.396	-0.516	-0.587
ENSMAUG00000000068.1	ZC3H4	1.93960272	2.124328135	2.469365054	2.254594043	1.678522677	1.90303827	1.414135533	1.898788797
ENSMAUG00000000069.1	4930447F04RIK	-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000070.1		-0.367	-0.514	-0.797	-0.695	-0.883	-0.654	-0.743	-0.894
ENSMAUG00000000071.1	TIGD2	1.549422746	1.556797247	1.728573603	1.589284107	1.286289758	1.627606838	1.212258044	1.564134243
ENSMAUG00000000072.1	CTAG2	-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000073.1	THEM6	2.393690764	2.576522138	2.630172459	1.768501947	1.768925336	1.250355272	1.109026176	1.291014101
ENSMAUG00000000074.1		3.631569968	3.922197848	3.853496704	5.57706622	5.032409455	5.473397292	5.04697118	5.334818523
ENSMAUG00000000075.1	CNPY1	-0.786	-0.672	-0.828	-0.971	-0.863	-0.762	-0.725	-0.76
ENSMAUG00000000076.1		-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000077.1	KLHL1	-1	-1	-0.992	-1	-1	-1	-1	-1
ENSMAUG00000000078.1	RAD21	3.853197255	3.88234959	4.044044333	4.134385246	3.668005629	4.091192052	3.512732563	3.753283616
ENSMAUG00000000079.1	RETREG1	0.962734091	1.053111336	1.445726703	2.535057595	1.808179084	2.489286023	2.129942384	2.117030053
ENSMAUG00000000080.1		-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000081.1	MTERF4	1.45785691	1.390117354	1.249748715	1.45785691	1.060739158	1.473007568	1.136847604	1.530070742
